종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"475150","SK이터닉스","KOSPI",,"24850","400","1.64","25050","25100","24300","868885","21493429475","838787943700","33754042"
"001510","SK증권","KOSPI",,"692","-12","-1.70","714","714","684","5862275","4078621436","327032398332","472590171"
"001515","SK증권우","KOSPI",,"2265","-60","-2.58","2325","2325","2225","4014","9023800","8861844210","3912514"
"285130","SK케미칼","KOSPI",,"72500","700","0.97","72000","73500","70600","76153","5492945050","1250899267500","17253783"
"28513K","SK케미칼우","KOSPI",,"29150","250","0.87","29150","29400","28150","17322","499607825","61664755350","2115429"
"017670","SK텔레콤","KOSPI",,"57900","400","0.70","56600","58000","56600","591342","34023602550","12436344068700","214790053"
"000660","SK하이닉스","KOSPI",,"278500","-7000","-2.45","283500","283500","274500","3550271","986675974250","202748658652500","728002365"
"048550","SM C&C","KOSDAQ","중견기업부","1458","-32","-2.15","1490","1496","1442","209920","306855736","141009915960","96714620"
"063440","SM Life Design","KOSDAQ","중견기업부","1598","-2","-0.13","1591","1612","1578","85312","135830907","73554588092","46029154"
"003570","SNT다이내믹스","KOSPI",,"53300","-300","-0.56","54500","54900","52000","90252","4786276950","1772368750100","33252697"
"064960","SNT모티브","KOSPI",,"31600","-100","-0.32","31500","31800","30900","25726","804074750","838672595200","26540272"
"100840","SNT에너지","KOSPI",,"37250","-2900","-7.22","40200","40600","36500","318557","11919829950","770359166750","20680783"
"036530","SNT홀딩스","KOSPI",,"56700","-3300","-5.50","63400","65100","54700","77933","4511206750","924430336200","16303886"
"067160","SOOP","KOSDAQ GLOBAL","우량기업부","90200","-500","-0.55","90600","90700","89500","28534","2574341300","1036827983400","11494767"
"005610","SPC삼립","KOSPI",,"57200","800","1.42","57600","57600","56100","9481","538962350","493579314800","8629009"
"011810","STX","KOSPI",,"3530","25","0.71","3520","3530","3450","47428","164954530","109493282310","31017927"
"465770","STX그린로지스","KOSPI",,"8750","140","1.63","8670","9380","8520","1192670","10793908735","62746530000","7171032"
"077970","STX엔진","KOSPI",,"20850","-600","-2.80","21500","21600","20700","173902","3637134075","837087113550","40148063"
"002820","SUN&L","KOSPI",,"2960","-35","-1.17","3040","3040","2960","5316","15825990","37319647440","12607989"
"289080","SV인베스트먼트","KOSDAQ","중견기업부","1655","-15","-0.90","1670","1671","1606","172340","280436932","89408841195","54023469"
"084870","TBH글로벌","KOSPI",,"1345","5","0.37","1328","1358","1300","30929","40857373","28052421555","20856819"
"002710","TCC스틸","KOSPI",,"16710","-80","-0.48","16570","16750","16280","63461","1042448650","438030876870","26213697"
"013720","THE CUBE&","KOSDAQ","중견기업부","1107","-21","-1.86","1120","1152","1090","209580","232588861","66229754301","59828143"
"089230","THE E&M","KOSDAQ","중견기업부","986","-14","-1.40","994","1008","957","138391","135199121","23992291658","24332953"
"032540","TJ미디어","KOSDAQ","우량기업부","6110","0","0.00","6060","6140","6000","10119","61332410","85122130990","13931609"
"069260","TKG휴켐스","KOSPI",,"17030","0","0.00","16950","17030","16830","36867","623871430","696162353640","40878588"
"007980","TP","KOSPI",,"1486","-22","-1.46","1503","1503","1472","131838","195723897","76046243180","51175130"
"048770","TPC","KOSDAQ","벤처기업부","2060","-65","-3.06","2125","2150","2030","41792","86311240","32337861460","15697991"
"246690","TS인베스트먼트","KOSDAQ","중견기업부","1593","-28","-1.73","1621","1623","1573","296715","471468938","66074234166","41477862"
"317240","TS트릴리온","KOSDAQ","벤처기업부","226","6","2.73","217","229","217","1306394","288580896","24236448372","107240922"
"002900","TYM","KOSPI",,"5200","-10","-0.19","5260","5270","5120","161119","838009725","234264971200","45050956"
"024070","WISCOM","KOSPI",,"2060","35","1.73","2090","2090","2020","4858","9918215","31572462280","15326438"
"057030","YBM넷","KOSDAQ","중견기업부","3545","15","0.42","3530","3570","3490","66694","234118450","57828510865","16312697"
"037270","YG PLUS","KOSPI",,"8880","70","0.79","8750","9030","8540","1247018","10987725695","563253160800","63429410"
"040300","YTN","KOSDAQ","중견기업부","3005","15","0.50","2990","3005","2970","43386","129522445","143269324900","47676980"
"051390","YW","KOSDAQ","중견기업부","3785","-25","-0.66","3810","3820","3770","2793","10587300","42980067880","11355368"
"052220","iMBC","KOSDAQ","중견기업부","3605","0","0.00","3615","3670","3550","106175","379257525","82915000000","23000000"
"139130","iM금융지주","KOSPI",,"13120","120","0.92","12930","13130","12780","429811","5555379440","2183073968960","166392833"
"079940","가비아","KOSDAQ","우량기업부","26550","-600","-2.21","27150","27150","25950","42883","1133458400","359372410200","13535684"
"078890","가온그룹","KOSDAQ","중견기업부","3275","-75","-2.24","3375","3400","3230","35329","115408488","59103505800","18046872"
"000500","가온전선","KOSPI",,"63900","-2900","-4.34","65800","66000","62700","69485","4421064100","1057105048500","16543115"
"399720","가온칩스","KOSDAQ","우량기업부","45550","-300","-0.65","46050","46050","44650","42515","1920133700","528257926000","11597320"
"296520","가이아코퍼레이션","KONEX","일반기업부","989","129","15.00","989","989","989","10","9890","4615670912","4667008"
"036620","감성코퍼레이션","KOSDAQ","우량기업부","6360","-40","-0.63","6390","6470","6210","498728","3148223175","581940000000","91500000"
"000860","강남제비스코","KOSPI",,"12630","-10","-0.08","12650","12670","11900","40404","506156320","164190000000","13000000"
"198440","강동씨앤엘","KOSDAQ","중견기업부","1195","5","0.42","1200","1221","1178","17984","21448485","72813615720","60931896"
"217730","강스템바이오텍","KOSDAQ","기술성장기업부","1514","5","0.33","1509","1518","1496","115110","173297525","84865981586","56054149"
"035250","강원랜드","KOSPI",,"18870","430","2.33","18540","18990","18510","692788","13050326230","4037057235000","213940500"
"114190","강원에너지","KOSDAQ","우량기업부","6610","-60","-0.90","6670","6670","6490","45203","296422305","172673281180","26123038"
"094480","갤럭시아머니트리","KOSDAQ","중견기업부","11350","-650","-5.42","12410","12450","11220","733794","8576737785","445258661300","39229838"
"011420","갤럭시아에스엠","KOSPI",,"2455","-45","-1.80","2525","2535","2435","227406","562518334","67634376020","27549644"
"039240","경남스틸","KOSDAQ","우량기업부","3045","-10","-0.33","3065","3065","2995","136100","411216657","82152894180","26979604"
"053950","경남제약","KOSDAQ","중견기업부","647","3","0.47","644","650","639","125234","80692229","50561340626","78147358"
"002100","경농","KOSPI",,"10140","-60","-0.59","10240","10240","10050","36794","371744605","197958910500","19522575"
"009450","경동나비엔","KOSPI",,"72000","-1000","-1.37","73500","73600","71400","26277","1888284550","1048938624000","14568592"
"267290","경동도시가스","KOSPI",,"20750","-150","-0.72","21000","21000","20450","13045","270336400","122329674500","5895406"
